ID,title,coords,IDImagenVitrina
11121400,11214,,
11121500,11215,,
11121600,11216,,
11121700,11217,,
11121800,11218,,
11121900,11219,,
11122000,11220,,
11122100,11221,,
11122200,11222,,
11122300,11223,,
11122500,11225,,
11122700,11227,,
11122800,11228,,
11123000,11230,,
11123100,11231,,
11123200,11232,,
11123300,11233,,
11123700,11237,,
11123800,11238,,
11124000,11240,,
11124100,11241,,
11124200,11242,,
11124300,11243,,
11124400,11244,,
11124700,11247,,
11124800,11248,,
11125000,11250,,
11125700,11257,,
11125800,11258,,
11125900,11259,,
11126000,11260,,
11126700,11267,,
11127000,11270,,
11127300,11273,,
11127400,11274,,
11127500,11275,,
11127600,11276,,
11127700,11277,,
11127800,11278,,
11128500,11285,,
20000022,12533,"471, 983, 60- 471, 1076, 60",6003002
20000023,12533,"244, 983, 60- 244, 1076, 60",6003003
20000022,12573,"471, 983, 60- 471, 1076, 60",6003002
20000023,12573,"244, 983, 60- 244, 1076, 60",6003003
11258900,12589,"616, 586, 15- 616, 612, 15",6004002
11259400,12594,"690, 938, 25- 690, 980, 25- 690, 1013, 25",6004002
11282300,12823,"409, 874, 25",6004001
22823100,12823,"17, 870, 25",6004002
11311500,13115,,
11327200,13272,,
11334000,13340,"610, 1092, 30",6003001
11354600,13546,"547, 965, 25",6004003
23546100,13546,"216, 970, 25",6004004
11354700,13547,"515, 905, 40",6004003
23547100,13547,"194, 903, 40",6004004
11357800,13578,,
11358500,13585,,
11359700,13597,,
11367400,13674,,
11369000,13690,,
11371600,13716,,
11422900,14229,,
11444700,14447,"668, 1050, 70",6004003
24447100,14447,"320, 1049, 70",6004004
11444800,14448,"711, 194, 40",6004004
11444900,14449,"454, 1001, 60",6004004
11445000,14450,"217, 930, 60",6003004
11469200,14692,"129, 166, 40",6003004
11472000,14720,"353, 203, 40",6004003
24720100,14720,"37, 200, 40",6004004
11473100,14731,"599, 997, 60",6004004
11473600,14736,,
21198100,11198.a,,
21198200,11198.b,,
20000022,14689-5,"471, 983, 60- 471, 1076, 60",6003002
20000023,14689-5,"244, 983, 60- 244, 1076, 60",6003003
24691100,14691-1,"632, 260, 40",6004003
156911100,14691-1,"311, 257, 40",6004004
24691200,14691-2,"691, 320, 40",6004004
