ID,IDGroup,title,masInfo,codigo,material,sitio,comuna,provincia,imagenes,video,video3d
148651,14865100,,,14865,,,,,COMODIN.jpg,,
731271,73127100,Vasija,,73-127,Arcilla,Quebrada Las Vizcachas,"La Higuera, Provincia de Elqui",,"IMG_5865.JPG, IMG_5866.JPG, IMG_5867.JPG, IMG_5868.JPG",,
731481,73148100,Mano de moler,,73-148,Andesita,Quebrada Las Vizcachas,"La Higuera, Provincia de Elqui",,COMODIN.jpg,,
731491,73149100,Colgante,,73-149,Turquesa,Quebrada Las Vizcachas,"La Higuera, Provincia de Elqui",,COMODIN.jpg,,
731501,73150100,Colgante,,73-150,Cobre,Quebrada Las Vizcachas,"La Higuera, Provincia de Elqui",,COMODIN.jpg,,
731521,73152100,Lámina de cobre,,73-153,Cobre,Quebrada Las Vizcachas,"La Higuera, Provincia de Elqui",,COMODIN.jpg,,
731531,73153100,Colgante,,73-153,Concha,Quebrada Las Vizcachas,"La Higuera, Provincia de Elqui",,COMODIN.jpg,,
731541,73154100,Colgante,,73-154,Concha,Quebrada Las Vizcachas,"La Higuera, Provincia de Elqui",,COMODIN.jpg,,
731561,73156100,Colgante,,73-156,Concha,Quebrada Las Vizcachas,"La Higuera, Provincia de Elqui",,COMODIN.jpg,,
935111,93511100,Cuenco,,9351A,Arcilla,Farellón,"Río Hurtado, Provincia de Limarí",,"IMG_6264.JPG, IMG_6265.JPG, IMG_6266.JPG, IMG_6267.JPG",,
1479821,147982100,Aro,,14798-2,Cobre,Coquimbo centro,"Coquimbo, Provincia de Elqui",,COMODIN.jpg,,
1484921,148492100,Adorno,,14849-2,Combarbalita,Recoleta-Quebrada Bulrreme,"Río Hurtado, Provincia de Limarí",,COMODIN.jpg,,
